사업부구분,대분류,중분류,소분류,2025년연간,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
MLB,광고비,Others Product requested,,737077,32980,-31868,6152,3297,3514,324961,64982,-313,68919,35807,25140.71,1203.81
KIDS,광고비,Campaign,,14915887.71,900000,900895,850000,1360000,1500000,1004993,1150000,1200000,1418650,1600000,1500000,1660000
KIDS,광고비,Retailing,,1238198.3,0,7705,126943,118217,15666,31000,337000,67000,277000,67000,253801.79,67000
KIDS,광고비,Branding,,1030025.63,241857,67000,72450,36225,51109,4025,7360,110000,31350,100000,21160,107000
KIDS,광고비,Product,,696159.52,38555,37186,25262,35969,11232,12248,22836,34958,66239,61484,33723.28,22400.64
DISCOVERY,광고비,CAMPAIGN,,27249060,-448574,1268675,1251977,1396744,2983482,2327777,146033,1826804,8200000,3903371,4041877.19,4377777.03
DISCOVERY,광고비,Branding,,3637805,2345654,57153,60542,75368,144861,941452,390837,844210,1255600,650000,559089.53,1304740.54
DISCOVERY,광고비,Retailing,,3177353,71238,142120,158863,193536,307657,137779,13130,110000,93895,640026,650000,150000
DISCOVERY,광고비,Product,,1036387,72065,15222,50120,82057,96921,37335,14071,89912,149397,204079,65013.57,206929.35
MLB,수주회,MLB,SS,6300000,0,0,0,,,,5810606,,298933,,,
MLB,수주회,MLB,FW,5886997,5786997,0,71222,,,,,,,,,
KIDS,수주회,KIDS,SS,437358,,,,,,,305030,,52497,,,
KIDS,수주회,KIDS,FW,411520,351520,0,0,,,,,,,,,
DISCOVERY,수주회,DISCOVERY,SS,2000000,,,,,,,,,,797026,,
DISCOVERY,수주회,DISCOVERY,FW,490551,0,490551,0,,,,,,,,,
MLB,감가상각비,MLB,유형자산 감가상각비,984613.0277,79182,78974,85259,88844,86003,92883,86029,77281,76519,86074,74436.05,73025.83
KIDS,감가상각비,KIDS,유형자산 감가상각비,33676,2446,2446,2446,2446,2446,2000,2043,3507,3507,3507,3017.02,3017.02
DISCOVERY,감가상각비,DISCOVERY,유형자산 감가상각비,38730,0,0,1354,504,504,1000,504,4328,4328,5704,5488.3,6016.17
MLB,감가상각비,MLB,무형자산 상각비,1962224,121103,164551,163773,163773,163773,169304,169415,169304,169304,169304,169303.62,169303.6
KIDS,감가상각비,KIDS,무형자산 상각비,0,,,,,,,,,,,,
DISCOVERY,감가상각비,DISCOVERY,무형자산 상각비,0,,,,,,,,,,,,
MLB,감가상각비,MLB,인테리어 상각비,1696046.201,149653,106414,106414,106414,80526,77526,188526,212663,200823,200823,123297.1,142835.8
KIDS,감가상각비,KIDS,인테리어 상각비,0,,,,,,,,,,,,
DISCOVERY,감가상각비,DISCOVERY,인테리어 상각비,0,,,,,,,,,,,,
공통,임차료,사무실임차료,3층,953127,272322,272322,272322,136161,,,0,0,0,0,0,0
공통,임차료,사무실임차료,35층,5869113,489065,489398,489398,489398,489398,489398,489398,489398,489398,489398,489398.02,489398.02
공통,임차료,사무실임차료,35층 (2024.10.15),1395384,116282,116282,116282,116282,116282,116282,116282,116282,116282,116282,116282.05,116282.05
공통,임차료,사무실임차료,39층,7289103,607453,607120,607120,607120,607120,607120,607120,607120,607120,607120,607119.91,607119.91
공통,임차료,사무실임차료,38층(25년 신규),2920854,0,0,0,0,0,,486809,486809,486809,486809,486809.19,486809.19
공통,임차료,관리비,,2462927,189896,192505,190484,173494,213187,222174,200502,217531,209375,215876,215887.96,213152.76
공통,세금과공과,증치세 부가 지방세,,12130712,1055799,1299102,,,872118,4629,469186,0,0,1560703,1444232.39,-1442295.64
공통,세금과공과,인지세,,2529942,266439,278119,217216,170315,153980,191765,304652,401935,375853,269966,159290.15,254308.74
공통,차량렌트비,KIA,,124248,10333,10333,10354,10354,10354,10354,10354,9208,9208,9208,9207.92,9207.92
공통,차량렌트비,ALPHA,,398016,33000,33000,33168,33168,33168,33168,33168,33168,33168,33168,33168.32,33168.32
공통,차량렌트비,차량유지비,,68237,5563.56,8172.76,2754.67,2774.22,5309.74,5397.6,6105.12,6575.41,6324.78,6169.74,6488.48,3713.43
MLB,출장비,국내출장비,MGT,186702,1600,1002,2186,18320,12125,1243,22297,1371,6581,10507,756,21880.36
MLB,출장비,국내출장비,재무,1004,0,0,,,,,,,865,,,749.42
MLB,출장비,국내출장비,법무,4994,0,0,,,,,,,,,,
MLB,출장비,국내출장비,Business Operation,5290,296,0,,4867,2312,239,18479,-13000,3533,4617,117.5,15229.09
MLB,출장비,국내출장비,Procurement,16179,0,0,161,3382,3459,,,,,,,2333.83
MLB,출장비,국내출장비,Supply Chain,18706,1591,945,2095,3103,,1994,2021,1006,1080,1565,1650.5,314.86
MLB,출장비,국내출장비,마케팅,76434,1534,0,293,2536,3904,3675,17980,1236,2724,2826,21014.72,81993.76
MLB,출장비,국내출장비,BD,4881,54,1083,,,,3255,2607,,973,339,1269.65,315.08
MLB,출장비,국내출장비,온라인,38006,557,0,160,15992,1429,758,80,5245,10134,0,1066.2,378
MLB,출장비,국내출장비,상품기획(MP),2697,0,0,,,,,,,,,,
MLB,출장비,국내출장비,Wholesale,217125,8155,10485,34252,81801,20576,400,13870,23092,18467,3392,24496,21848.34
MLB,출장비,국내출장비,리테일,47962,721,0,,,,711,,1864,7267,1950,,928.43
MLB,출장비,국내출장비,VMD,34466,0,759,3222,19827,12331,133,5885,1747,8662,560,,7475.55
MLB,출장비,국내출장비,MD,57424,0,0,300,,,,2464,,,,,3754.84
MLB,출장비,국내출장비,인테리어,401175,10972,724,22254,2563,12773,37793,35093,10963,34731,25078,38621.07,52644.69
MLB,출장비,국내출장비,유통MD(MO),15042,62,0,,,,39,,,,,3802.03,3165.15
KIDS,출장비,국내출장비,MD,13732,0,0,1701,,2600,1612,1650,1000,,,,539.63
KIDS,출장비,국내출장비,Wholesale,74471,1303,13250,10808,6431,14686,783,5536,6924,11877,4771,7233,4648.04
KIDS,출장비,국내출장비,리테일,27214,738,2760,,542,2375,1639,4505,1163,5665,1041,461.86,1679.74
