사업부구분,대분류,중분류,소분류,2024년 연간,24년1월,24년2월,24년3월,24년4월,24년5월,24년6월,24년7월,24년8월,24년9월,24년10월,24년11월,24년12월
공통,복리후생비,주재원지원금,비자&이사비용,45100,2000,800,2000,10500,0,5800,4300,4900,13200,0,900,700
MLB,광고비,APP,,38756928,7169555,1632062,814139,4451260,2000000,0,0,1142732,4667075,4953195,5948910,5978000
MLB,광고비,ACC,,40604880,10078496,2470764,1941058,1341551,383102,0,1000000,11253279,6724653,3000000,2411977,0
MLB,광고비,Retailing,,8722947,1568069,104880,1114425,1041860,82492,83334,77504,2133278,1150445,1200000,83334,83326
MLB,광고비,Branding,,34088649,3205167,3560651,3403941,2586582,2586137,2739821,2535035,3482006,2656582,2556582,2234563,2541582
MLB,광고비,CRM ,,1882159,296295,90250,118487,90250,103453,99193,150030,38494,99238,563644,135500,97325
MLB,광고비,Products,,2967129,251250,238923,109922,144112,21349,79562,296129,0,288849,569128,394548,573357
MLB,광고비,Others Product requested,,0,,,,,,,,,,,,
KIDS,광고비,Campaign,,9385265,530000,0,1629388,345738,1060970,345121,280333,735951,2457167,1150597,700000,150000
KIDS,광고비,Retailing,,45189,4300,8484,4000,3333,5520,4000,2760,8792,4000,0,0,0
KIDS,광고비,Branding,,1296435,280333,70333,280333,29884,70333,64658,0,14387,279999,67000,72175,67000
KIDS,광고비,Product,,498506,78379,41019,96535,59054,26926,27949,23120,0,38661,53052,26810,27001
DISCOVERY,광고비,CAMPAIGN,,12838144,,,,,,,,150000,1410600,3825289,4746520,2705735
DISCOVERY,광고비,Branding,,0,,,,,,,,,,,,
DISCOVERY,광고비,Retailing,,0,,,,,,,,,,,,
DISCOVERY,광고비,Product,,0,,,,,,,,,,,,
DUVETICA,광고비,Campaign,,4811103,1700000,1700000,568000,400000,400000,0,0,-5428,-10,48516,0,25
DUVETICA,광고비,Retailing,,82722,0,13148,2300,56474,10800,0,0,0,0,0,,
DUVETICA,광고비,Branding,,435405,122791,140013,113871,19343,39387,0,0,0,0,0,,
SUPRA,광고비,Campaign,,2784904,0,1360000,0,778120,0,0,0,189416,377355,80002,0,11
SUPRA,광고비,Retailing,,50962,8280,0,4742,0,690,32854,0,0,4396,0,,
SUPRA,광고비,Branding,,513109,111757,176553,59022,0,80777,85000,0,0,0,0,,
