사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
共同,commission,财务,SAP 维护费,공통,지급수수료,재무,SAP 유지보수 비용,35000,,,,,,,,,,,
共同,commission,财务,G3 Service,공통,지급수수료,재무,G3 연간 유지보수 비용,3000,,,,,,,,,,,
共同,commission,财务,Document Translator,공통,지급수수료,재무,계약서번역,,,,,,,,,,,,
共同,commission,财务,审计-销毁相关,공통,지급수수료,재무,폐기 관련 감사비용,,,,,,,,,,,,
共同,commission,财务,Tax-销毁相关税务,공통,지급수수료,재무,폐기관련 세무 컨설팅 비용,33333,,,,,,,,,,,
共同,commission,财务,IC相关,공통,지급수수료,재무,내부회계 감사비용,,,,,,,,,,,,
共同,commission,法务,法律顾问,공통,지급수수료,법무,법무 컨설팅 비용,8648,,,,,,,,,,,
共同,commission,法务,线上监测服务,공통,지급수수료,법무,온라인 감시 비용,6472,,,,,,,,,,,
共同,commission,法务,样品采买-假货,공통,지급수수료,법무,샘플 구매,77657,,,,,,,,,,,
共同,commission,法务,资料费,공통,지급수수료,법무,"증명서 발급비용(증명서, 번역)",,,,,,,,,,,,
共同,commission,法务,Wolters Kluwer 信息库,공통,지급수수료,법무,Wolters Kluwer 법률정보 데이터베이스,,,,,,,,,,,,
共同,commission,法务,商标费,공통,지급수수료,법무,상표권,,,,,,,,,,,,
共同,commission,Supply Chain,QA Service,공통,지급수수료,Supply Chain,QA 서비스,5920,,,,,,,,,,,
共同,commission,Supply Chain,RFID Service,공통,지급수수료,Supply Chain,RFID 서비스,10267,,,,,,,,,,,
共同,commission,Supply Chain,销毁服务,공통,지급수수료,Supply Chain,재고소각비용,,,,,,,,,,,,
共同,commission,Supply Chain,AI project,공통,지급수수료,Supply Chain,AI 프로젝트,,,,,,,,,,,,
共同,commission,Supply Chain,QA,공통,지급수수료,Supply Chain,QA 서비스,,,,,,,,,,,,
共同,commission,Supply Chain,VAS-Repair,공통,지급수수료,Supply Chain,VAS 수리비용,69861,,,,,,,,,,,
共同,commission,Office Service,Office Maintain,공통,지급수수료,Office Service,사무실 유지보수,700,,,,,,,,,,,
共同,commission,Office Service,Seasonal Clean,공통,지급수수료,Office Service,시즌 클리닝,11000,,,,,,,,,,,
共同,IT手续费,系统维护费,BOS(直营),공통,IT수수료,시스템 유지보수비용,BOS(직영),18868,,,,,,,,,,,
共同,IT手续费,系统维护费,BOS(代理商),공통,IT수수료,시스템 유지보수비용,BOS(대리상),,,,,,,,,,,,
共同,IT手续费,系统维护费,BI,공통,IT수수료,시스템 유지보수비용,BI,2000,,,,,,,,,,,
共同,IT手续费,系统维护费,OA,공통,IT수수료,시스템 유지보수비용,OA,6218,,,,,,,,,,,
共同,IT手续费,OMS,Old,공통,IT수수료,OMS,Old,55359,,,,,,,,,,,
