사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 , 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
KIDS,出差费,国内差旅费,INT,KIDS,출장비,국내출장비,인테리어,"12,485", - , - , - , - , - , - , - ,"2,497","2,497","2,497","2,497","2,497"
KIDS,出差费,国内差旅费,Kids Department,KIDS,출장비,국내출장비,Kids Department,0, - , - , - , - , - , - , - , - , - , - , - , - 
KIDS,出差费,国内差旅费,VMD,KIDS,출장비,국내출장비,VMD,"172,270","7,490", - ,"14,980","14,980","14,980","14,980","14,980","14,980","14,980","14,980","22,470","22,470"
DISCOVERY,出差费,国内差旅费,MD,DISCOVERY,출장비,국내출장비,MD,"544,272", - ,"7,490","104,860","7,490","207,223","9,987","19,973","4,993","157,290","4,993","14,980","4,993"
DISCOVERY,出差费,国内差旅费,Wholesale,DISCOVERY,출장비,국내출장비,Wholesale,"109,853","4,993", - ,"9,987","7,490","4,993","14,980","14,980","7,490","14,980","14,980", - ,"14,980"
DISCOVERY,出差费,国内差旅费,MKT,DISCOVERY,출장비,국내출장비,마케팅,"32,455", - , - ,"7,490", - , - ,"4,993","4,993","4,993","4,993","4,993", - , - 
DISCOVERY,出差费,国内差旅费,INT,DISCOVERY,출장비,국내출장비,인테리어,"82,390", - , - , - , - , - ,"7,490","7,490","7,490","14,980","14,980","14,980","14,980"
DISCOVERY,出差费,国内差旅费,EC,DISCOVERY,출장비,국내출장비,온라인,"2,497", - , - , - ,"2,497", - , - , - , - , - , - , - , - 
DISCOVERY,出差费,国内差旅费,Retail,DISCOVERY,출장비,국내출장비,리테일,0, - , - , - , - , - , - , - , - , - , - , - , - 
DISCOVERY,出差费,国内差旅费,VMD,DISCOVERY,출장비,국내출장비,VMD,"67,413", - , - ,"2,497","2,497","2,497","9,987","2,497","2,497","9,987","22,470","9,987","2,497"
MLB,出差费,海外差旅费,MGT,MLB,출장비,해외출장비,MGT,"84,700", - , - ,"16,620", - ,"8,710","8,710","8,710", - ,"16,620","8,710","16,620", - 
MLB,出差费,海外差旅费,Business Operation,MLB,출장비,해외출장비,Business Operation,"74,760","10,680", - ,"10,680", - , - ,"10,680","10,680","10,680","10,680", - ,"10,680", - 
MLB,出差费,海外差旅费,IT,MLB,출장비,해외출장비,IT,0,,,,,,,,,,,,
MLB,出差费,海外差旅费,Finance,MLB,출장비,해외출장비,재무,"21,390","8,710", - , - , - , - ,"12,680", - , - , - , - , - , - 
MLB,出差费,海外差旅费,Procument,MLB,출장비,해외출장비,Procument,0,,,,,,,,,,,,
MLB,出差费,海外差旅费,BD,MLB,출장비,해외출장비,BD,0,,,,,,,,,,,,
MLB,出差费,海外差旅费,Supply Chain,MLB,출장비,해외출장비,Supply Chain,0,,,,,,,,,,,,
MLB,出差费,海外差旅费,EC,MLB,출장비,해외출장비,온라인,"8,710","8,710", - , - , - , - , - , - , - , - , - , - , - 
MLB,出差费,海外差旅费,MP,MLB,출장비,해외출장비,상품기획(MP),0,,,,,,,,,,,,
MLB,出差费,海外差旅费,Wholesale,MLB,출장비,해외출장비,Wholesale,0, - , - , - , - , - , - , - , - , - , - , - , - 
MLB,出差费,海外差旅费,Retail,MLB,출장비,해외출장비,리테일,0, - , - , - , - , - , - , - , - , - , - , - , - 
MLB,出差费,海外差旅费,VMD,MLB,출장비,해외출장비,VMD,0, - , - , - , - , - , - , - , - , - , - , - , - 
MLB,出差费,海外差旅费,MD,MLB,출장비,해외출장비,MD,"147,245", - , - , - , - ,"6,310", - , - ,"73,760", - , - ,"60,865","6,310"
MLB,出差费,海外差旅费,MKT,MLB,출장비,해외출장비,마케팅,0, - , - , - , - , - , - , - , - , - , - , - , - 
MLB,出差费,海外差旅费,INT,MLB,출장비,해외출장비,인테리어,"40,360", - , - , - , - , - ,"20,180", - , - ,"20,180", - , - , - 
MLB,出差费,海外差旅费,MO,MLB,출장비,해외출장비,유통MD(MO),0,,,,,,,,,,,,
KIDS,出差费,海外差旅费,MD,KIDS,출장비,해외출장비,MD,"91,860", - , - ,"15,310","15,310", - ,"15,310","15,310", - ,"15,310", - ,"15,310", - 
KIDS,出差费,海外差旅费,Retail,KIDS,출장비,해외출장비,리테일,0,,,,,,,,,,,,
KIDS,出差费,海外差旅费,Wholesale,KIDS,출장비,해외출장비,Wholesale,0,,,,,,,,,,,,
KIDS,出差费,海外差旅费,MKT,KIDS,출장비,해외출장비,마케팅,0,,,,,,,,,,,,
KIDS,出差费,海外差旅费,INT,KIDS,출장비,해외출장비,인테리어,0,,,,,,,,,,,,
KIDS,出差费,海外差旅费,VMD,KIDS,출장비,해외출장비,VMD,0,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,MD,DISCOVERY,출장비,해외출장비,MD,"257,555","45,050", - ,"12,120","80,300", - ,"12,120","62,750","14,515","12,120", - ,"12,120","6,460"
DISCOVERY,出差费,海外差旅费,EC,DISCOVERY,출장비,해외출장비,온라인,0,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,Retail,DISCOVERY,출장비,해외출장비,리테일,0,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,Wholesale,DISCOVERY,출장비,해외출장비,Wholesale,0,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,MKT,DISCOVERY,출장비,해외출장비,마케팅,0,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,INT,DISCOVERY,출장비,해외출장비,인테리어,0,,,,,,,,,,,,
DISCOVERY,出差费,海外差旅费,VMD,DISCOVERY,출장비,해외출장비,VMD,0,,,,,,,,,,,,
共同,其他,招待费,,공통,기타,접대비,,"333,200","63,800","22,000","11,000","7,500","20,800","40,500","27,500","6,000","51,500","9,800","12,000","60,800"
共同,其他,办公用品,,공통,기타,사무용품비,,"373,219","40,600","25,219","26,050","33,100","27,100","27,250","33,100","27,100","46,250","33,100","27,100","27,250"
共同,其他,市内交通费,,공통,기타,여비교통비,,"393,367","49,927","24,927","25,094","25,270","25,270","55,029","25,029","25,029","24,313","24,313","34,313","54,853"
共同,其他,通信费,,공통,기타,통신비,,"24,664","1,572","1,572","1,572","1,572","7,372","1,572","1,572","1,572","1,572","1,572","1,572","1,572"
