사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 ,조정,조정후 예산,,,
共同,commission,法务,法律顾问,공통,지급수수료,법무,법무 컨설팅 비용,"103,776",,"103,776",,,
共同,commission,法务,线上监测服务,공통,지급수수료,법무,온라인 감시 비용,"114,965",,"114,965",,,
共同,commission,法务,样品采买-假货,공통,지급수수료,법무,샘플 구매,"1,063,884","77,566","1,141,450",,,
共同,commission,法务,资料费,공통,지급수수료,법무,"증명서 발급비용(증명서, 번역)","4,000",,"4,000",,,
共同,commission,法务,Wolters Kluwer 信息库,공통,지급수수료,법무,Wolters Kluwer 법률정보 데이터베이스,"22,698",,"22,698",,,
共同,commission,法务,商标费,공통,지급수수료,법무,상표권,0,,,,,
共同,commission,Supply Chain,QA Service,공통,지급수수료,Supply Chain,QA 서비스,"73,791",0,"73,791",,,
共同,commission,Supply Chain,RFID Service,공통,지급수수료,Supply Chain,RFID 서비스,"153,144",0,"153,144",,,
共同,commission,Supply Chain,销毁服务,공통,지급수수료,Supply Chain,재고소각비용,"153,140","3,316,048","3,469,188",,,
共同,commission,Supply Chain,AI project,공통,지급수수료,Supply Chain,AI 프로젝트,"58,750",0,"58,750",,,
共同,commission,Supply Chain,QA Service,공통,지급수수료,Supply Chain,QA 서비스,0,0,0,,,
共同,commission,Supply Chain,VAS-Repair,공통,지급수수료,Supply Chain,VAS 수리비용,"1,024,198",0,"1,024,198",,,
共同,commission,Office Service,Office Maintain,공통,지급수수료,Office Service,사무실 유지보수,"23,400",0,"23,400",,,
共同,commission,Office Service,Seasonal Clean,공통,지급수수료,Office Service,시즌 클리닝,"44,000","-10,649","33,351",,,
共同,IT手续费,系统维护费,BOS(直营),공통,IT수수료,시스템 유지보수비용,BOS(직영),"316,534",,"316,534",,,
共同,IT手续费,系统维护费,BOS(代理商),공통,IT수수료,시스템 유지보수비용,BOS(대리상),"47,170",,"47,170",,,
共同,IT手续费,系统维护费,BI,공통,IT수수료,시스템 유지보수비용,BI,"24,000",,"24,000",,,
共同,IT手续费,系统维护费,OA,공통,IT수수료,시스템 유지보수비용,OA,"104,176",,"104,176",,,
共同,IT手续费,OMS,Old,공통,IT수수료,OMS,Old,"166,077",,"166,077",,,
共同,IT手续费,OMS,New,공통,IT수수료,OMS,New,"1,113,731","-610,000","503,731",,,
共同,IT手续费,CN SAP,维护费 (IT),공통,IT수수료,CN SAP,연간 유지보수비용 (IT),"3,375,314",,"3,375,314",,,
共同,IT手续费,CN SAP,维护费 (PI),공통,IT수수료,CN SAP,연간 유지보수비용 (PI),"69,486",,"69,486",,,
共同,IT手续费,CN SAP,upgrade,공통,IT수수료,CN SAP,"업그레이드 비용(확장,인터페이스 등)","390,242",,"390,242",,,
共同,IT手续费,Data Server,阿里云,공통,IT수수료,Data Server,Ali클라우드,"578,110",,"578,110",,,
共同,IT手续费,Data Server,AWS云,공통,IT수수료,Data Server,aws클라우드,"119,188",,"119,188",,,
共同,IT手续费,Data Server,安畅,공통,IT수수료,Data Server,anchnet서버,"75,594",,"75,594",,,
共同,IT手续费,Data Server,读写分离,공통,IT수수료,Data Server,읽기쓰기 분리 연사용료,0,,0,,,
共同,IT手续费,Data Server,NAS维保,공통,IT수수료,Data Server,NAS유지보수,"8,491",,"8,491",,,
共同,IT手续费,Anti-virus Wall,防火墙服务,공통,IT수수료,보안시스템 (방화벽),보안시스템 (방화벽),"183,846",,"183,846",,,
共同,IT手续费,Anti-virus Wall,官网SSL证书,공통,IT수수료,보안시스템 (방화벽),공홈 SSL증서,"7,547",,"7,547",,,
